agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
1,1,9,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,2,-0.2,2,0
1,1,10,0,0,0,0.0,0.0,2,-1.2,2,0
0,2,9,2,1,0,0.5000000000000001,17.0,5,2.0,5,3
1,2,9,0,0,0,0.0,0.0,2,-1.2,3,0
1,3,8,1,0,0,1.3877787807814454e-16,6.000000000000001,3,0.0,3,1
1,3,9,1,0,0,0.0,5.000000000000001,2,-1.2,3,1
1,4,50,0,8,0,0.6000000000000005,6.000000000000005,2,0.8,7,8
0,4,50,0,12,7,2.999999999999997,29.999999999999968,5,0.8,13,12
0,5,9,0,1,0,0.5000000000000001,5.000000000000001,4,-0.2,4,1
1,5,9,0,0,0,0.0,0.0,2,-1.0,4,0
0,6,50,2,13,7,3.599999999999997,47.99999999999997,5,2.0,19,15
1,6,50,0,8,0,0.599999999999998,5.99999999999998,5,0.8,8,8
0,7,9,0,1,0,0.5000000000000002,5.000000000000002,2,0.0,5,1
1,7,9,0,0,0,0.0,0.0,2,-1.2,3,0
0,8,8,1,3,0,1.7999999999999998,24.0,0,0.0,7,4
1,8,9,1,0,0,0.0,5.000000000000001,2,-1.0,3,1
0,9,9,0,3,0,1.6999999999999995,16.999999999999996,0,0.0,5,3
1,9,9,0,0,0,0.0,0.0,2,-1.2,3,0
0,10,8,0,1,0,0.6000000000000001,6.000000000000001,0,0.0,4,1
1,10,9,0,0,0,0.0,0.0,2,-1.2,3,0
0,11,15,0,4,0,1.6999999999999995,16.999999999999996,5,-0.2,7,4
1,11,15,0,1,0,0.0,0.0,2,-1.2,6,1
1,12,8,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,2,-0.2,4,0
0,12,9,2,0,0,0.0,11.0,0,0.0,4,2
0,13,9,2,1,0,0.5000000000000002,17.0,0,1.0,5,3
1,13,9,1,0,0,0.0,5.000000000000001,2,-1.0,3,1
0,14,9,2,2,0,1.1,23.0,1,0.0,7,4
1,14,9,1,0,0,0.0,5.000000000000001,2,-1.0,3,1
0,15,9,1,2,0,1.0999999999999996,16.999999999999996,0,0.0,5,3
1,15,9,1,0,0,0.0,5.000000000000001,2,-1.2,4,1
0,16,21,0,5,2,1.6999999999999993,16.999999999999993,4,-0.2,10,5
1,16,21,0,2,0,0.0,0.0,2,-1.2,3,2
0,17,9,0,2,0,1.1,11.0,5,1.0,5,2
1,17,9,0,0,0,0.0,0.0,3,-1.0,4,0
0,18,50,4,12,7,2.9999999999999973,53.999999999999964,2,2.0,20,16
1,18,50,0,8,0,0.6000000000000001,6.000000000000001,0,0.8,6,8
1,19,8,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,2,-0.2,3,0
1,19,9,0,0,0,0.0,0.0,1,-1.2,3,0
0,20,32,0,10,4,3.599999999999999,35.99999999999999,4,-0.2,16,10
1,20,33,0,4,0,0.0,0.0,3,-1.0,5,4
0,21,20,2,4,2,1.2000000000000002,24.000000000000004,5,1.0,10,6
1,21,21,0,2,0,0.0,0.0,5,-1.2,4,2
0,22,8,2,0,0,1.3877787807814454e-16,12.000000000000002,2,1.0,4,2
1,22,9,0,0,0,0.0,0.0,2,-1.2,4,0
0,23,9,1,3,0,1.6999999999999995,23.0,5,1.0,7,4
1,23,9,1,0,0,0.0,5.000000000000001,2,-1.0,4,1
0,24,9,1,1,0,0.5000000000000001,11.0,5,1.0,7,2
1,24,9,0,0,0,0.0,0.0,2,-1.2,3,0
0,25,9,1,3,0,1.6999999999999995,23.0,1,1.0,3,4
1,25,9,2,0,0,0.0,11.0,2,-1.2,3,2
1,26,38,1,5,0,5.828670879282072e-16,6.000000000000005,2,0.0,5,6
1,26,39,1,6,0,0.6,11.999999999999998,0,-1.0,5,7
0,27,50,0,13,8,3.599999999999998,35.99999999999998,2,0.8,17,13
1,27,50,0,8,0,0.5999999999999996,5.9999999999999964,2,0.8,5,8
0,28,20,2,3,2,0.6,17.999999999999996,5,1.0,8,5
1,28,21,0,2,0,0.0,0.0,2,-1.2,4,2
0,29,8,0,1,0,0.6000000000000002,6.000000000000002,4,-0.2,5,1
1,29,9,0,0,0,0.0,0.0,2,-1.0,3,0
0,30,9,2,2,0,1.0999999999999996,23.0,3,0.0,6,4
1,30,9,1,0,0,0.0,5.000000000000001,2,-1.0,3,1
0,31,8,5,1,0,0.6000000000000001,36.0,2,1.0,5,6
1,31,9,1,0,0,0.0,5.000000000000001,2,-1.2,5,1
0,32,33,0,5,4,0.4999999999999984,4.999999999999984,4,-0.2,11,5
1,32,33,0,4,0,0.0,0.0,2,-1.2,5,4
0,33,50,2,12,9,2.9999999999999973,41.99999999999997,2,1.0,17,14
1,33,50,0,9,0,1.1999999999999995,11.999999999999996,0,0.8,7,9
1,34,8,1,0,0,1.3877787807814454e-16,6.000000000000001,0,0.0,5,1
1,34,9,1,0,0,0.0,5.000000000000001,2,-1.0,5,1
0,35,27,0,8,3,2.899999999999998,28.99999999999998,5,-0.2,13,8
1,35,27,0,3,0,0.0,0.0,2,-1.2,4,3
0,36,9,2,3,0,1.6999999999999995,28.999999999999996,5,1.0,8,5
1,36,9,1,0,0,0.0,5.000000000000001,0,-1.0,5,1
0,37,20,3,5,2,1.7999999999999994,35.99999999999999,5,1.0,10,8
1,37,21,0,2,0,0.0,0.0,2,-1.2,4,2
1,38,50,0,8,0,0.6000000000000001,6.000000000000001,0,1.0,6,8
0,38,50,2,10,8,1.799999999999998,29.999999999999982,5,2.0,15,12
0,39,9,3,1,0,0.5000000000000001,23.0,5,1.0,4,4
1,39,9,0,0,0,0.0,0.0,2,-1.2,3,0
1,40,50,0,7,0,6.938893903907228e-16,6.9388939039072276e-15,2,0.8,5,7
0,40,50,0,9,7,1.1999999999999966,11.999999999999966,3,1.0,15,9
0,41,8,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,0,0.0,3,0
0,41,9,0,0,0,0.0,0.0,2,-1.0,3,0
0,42,8,0,1,0,0.6000000000000001,6.000000000000001,4,-0.2,4,1
1,42,9,0,0,0,0.0,0.0,2,-1.2,4,0
1,43,14,0,1,0,2.775557561562892e-17,2.7755575615628914e-16,0,-0.2,5,1
1,43,15,0,1,0,0.0,0.0,3,-1.2,5,1
0,44,9,1,2,0,1.1,17.0,5,1.0,6,3
1,44,9,0,0,0,0.0,0.0,3,-1.0,3,0
0,45,15,0,3,1,1.0999999999999992,10.999999999999991,5,-0.2,6,3
1,45,15,0,1,0,0.0,0.0,2,-1.2,2,1
0,46,33,0,6,4,1.0999999999999988,10.999999999999988,0,0.0,8,6
1,46,33,0,4,0,0.0,0.0,2,-1.2,3,4
0,47,33,0,8,4,2.299999999999998,22.99999999999998,4,-0.2,11,8
1,47,33,0,4,0,0.0,0.0,2,-1.2,5,4
0,48,15,0,3,1,1.1,10.999999999999998,0,0.0,7,3
1,48,15,0,1,0,0.0,0.0,2,-1.2,3,1
1,49,8,1,0,0,1.3877787807814454e-16,6.000000000000001,2,-0.2,3,1
1,49,9,2,0,0,0.0,11.0,3,0.0,3,2
1,50,50,0,10,0,1.7999999999999994,17.999999999999993,2,0.8,6,10
0,50,50,2,10,10,1.7999999999999976,29.99999999999997,4,1.5,22,12
0,51,9,2,2,0,1.0999999999999996,23.0,1,1.0,5,4
1,51,9,1,0,0,0.0,5.000000000000001,2,-1.0,3,1
0,52,14,0,2,1,0.5999999999999995,5.999999999999995,4,-0.2,6,2
1,52,15,0,1,0,0.0,0.0,2,-1.2,4,1
1,53,14,0,1,0,2.498001805406602e-16,2.4980018054066026e-15,2,-0.2,5,1
1,53,15,0,1,0,0.0,0.0,2,-1.2,5,1
1,54,14,1,1,0,1.3877787807814454e-16,6.000000000000001,2,-0.2,5,2
1,54,15,1,1,0,0.0,5.000000000000001,2,-1.2,5,2
0,55,32,1,6,3,1.1999999999999993,17.999999999999993,5,1.0,11,7
1,55,33,0,4,0,0.0,0.0,2,-1.2,6,4
1,56,8,0,0,0,1.3877787807814454e-16,1.3877787807814457e-15,2,-0.2,2,0
1,56,9,0,0,0,0.0,0.0,2,-1.2,2,0
1,57,8,1,0,0,1.3877787807814454e-16,6.000000000000001,2,-0.2,4,1
1,57,9,1,0,0,0.0,5.000000000000001,2,-1.2,4,1
1,58,14,0,1,0,2.498001805406602e-16,2.4980018054066026e-15,2,-0.2,5,1
1,58,15,0,1,0,0.0,0.0,2,-1.2,5,1
0,59,50,1,14,7,4.199999999999998,47.99999999999998,1,1.0,20,15
1,59,50,0,8,0,0.5999999999999993,5.999999999999993,2,0.8,7,8
0,60,43,0,8,5,1.2999999999999972,12.999999999999972,4,-0.2,17,8
1,60,44,0,6,0,0.0,0.0,2,-1.0,7,6
1,61,26,0,3,0,2.775557561562892e-17,2.7755575615628914e-16,2,-0.2,8,3
1,61,27,0,3,0,0.0,0.0,2,-1.2,8,3
