agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
0,1,50,3,15,13,4.9,66.99999999999999,0,1.4,15,18
1,1,50,0,14,14,4.300000000000001,43.00000000000001,4,1.5,12,14
0,2,50,2,17,19,6.000000000000003,72.00000000000003,0,1.8,15,19
1,2,50,0,19,14,7.200000000000003,72.00000000000003,2,1.0,13,19
0,3,50,4,11,15,2.3999999999999986,47.99999999999999,3,1.8,20,15
1,3,50,1,16,8,5.400000000000001,60.00000000000001,3,1.8,14,17
0,4,50,6,11,14,2.3999999999999977,59.99999999999997,0,1.8,19,17
1,4,50,0,14,6,4.199999999999999,41.99999999999999,4,1.5,7,14
0,5,50,5,10,16,1.7999999999999967,47.99999999999997,4,2.7,16,15
1,5,50,0,16,8,5.400000000000004,54.00000000000004,1,1.0,6,16
0,6,50,1,12,13,2.999999999999999,35.99999999999999,4,1.9,20,13
1,6,50,0,13,5,3.599999999999998,35.99999999999998,2,1.0,12,13
1,7,49,0,13,6,3.700000000000005,37.00000000000005,3,0.0,10,13
0,7,50,7,7,13,0.0,41.99999999999997,1,-0.5,17,14
0,8,50,6,15,18,4.800000000000002,84.00000000000001,0,1.4,16,21
1,8,50,0,18,14,6.600000000000003,66.00000000000003,0,1.0,10,18
0,9,50,3,15,18,4.8000000000000025,66.00000000000001,3,1.8,13,18
1,9,50,0,19,15,7.200000000000004,72.00000000000003,1,1.0,11,19
1,10,37,0,11,5,3.7000000000000015,37.000000000000014,1,0.0,9,11
0,10,38,9,5,11,0.0,53.99999999999997,1,-1.5,13,14
0,11,50,0,16,16,5.399999999999999,53.99999999999999,1,0.9,18,16
1,11,50,0,16,15,5.400000000000005,54.00000000000004,4,1.9,12,16
0,12,50,4,13,18,3.599999999999997,59.99999999999997,4,1.9,14,17
1,12,50,1,18,13,6.600000000000001,72.0,2,1.8,10,19
0,13,50,4,9,14,1.1999999999999966,35.999999999999964,4,1.9,16,13
1,13,50,0,15,8,4.800000000000005,48.00000000000005,2,0.9,10,15
0,14,50,6,9,14,1.199999999999997,47.99999999999997,0,0.6,11,15
1,14,50,0,14,9,4.2,42.0,0,1.0,9,14
0,15,50,3,12,17,2.999999999999997,47.99999999999997,1,0.9,17,15
1,15,50,1,17,11,6.000000000000003,66.00000000000001,3,1.8,9,18
0,16,50,7,15,18,4.8,90.0,1,1.4,16,22
1,16,50,1,19,13,7.200000000000006,78.00000000000006,2,1.8,10,20
0,17,50,0,17,12,6.000000000000002,60.000000000000014,1,0.9,12,17
1,17,50,0,12,16,3.0000000000000018,30.000000000000018,4,1.5,9,12
0,18,50,1,9,11,1.199999999999997,17.99999999999997,4,2.7,11,10
1,18,50,0,11,3,2.399999999999997,23.999999999999968,3,1.0,8,11
0,19,9,1,1,0,0.5,11.0,0,0.8,2,2
1,19,9,0,0,1,0.0,0.0,4,-1.1,6,0
1,20,19,0,4,1,1.299999999999999,12.99999999999999,0,0.0,5,4
0,20,20,0,2,4,0.0,0.0,2,-1.1,6,2
0,21,50,0,15,14,4.8,47.99999999999999,4,1.9,13,15
1,21,50,0,15,14,4.800000000000001,48.00000000000001,3,1.0,13,15
0,22,50,1,13,15,3.599999999999997,41.999999999999964,5,1.8,13,14
1,22,50,0,15,12,4.800000000000004,48.00000000000004,3,1.0,10,15
0,23,50,1,18,20,6.600000000000006,72.00000000000006,4,1.9,12,19
1,23,50,1,20,15,7.800000000000005,84.00000000000006,3,1.8,8,21
0,24,50,0,14,15,4.200000000000003,42.00000000000003,2,1.0,14,14
1,24,50,0,15,12,4.799999999999999,47.99999999999999,2,1.0,12,15
0,25,50,6,8,10,0.6,41.99999999999999,5,1.4,17,14
1,25,50,0,11,2,2.399999999999997,23.999999999999968,2,1.0,10,11
0,26,50,6,10,17,1.7999999999999976,53.999999999999964,1,0.9,9,16
1,26,50,0,18,10,6.600000000000007,66.00000000000006,3,1.0,9,18
0,27,50,1,9,9,1.199999999999997,17.99999999999997,4,2.7,13,10
1,27,50,1,10,7,1.7999999999999967,23.999999999999968,1,1.8,9,11
1,28,8,0,1,0,0.6000000000000001,6.000000000000001,5,-0.1,4,1
0,28,9,0,0,1,0.0,0.0,2,-1.1,5,0
0,29,50,3,16,19,5.400000000000002,72.00000000000001,4,1.9,14,19
1,29,50,0,19,15,7.200000000000005,72.00000000000004,4,1.9,9,19
0,30,50,6,14,17,4.1999999999999975,77.99999999999997,0,0.6,12,20
1,30,50,1,17,13,6.000000000000004,66.00000000000003,4,2.3,10,18
0,31,50,0,16,17,5.400000000000001,54.00000000000001,4,1.9,12,16
1,31,50,0,17,16,6.000000000000003,60.00000000000002,4,1.9,9,17
0,32,9,3,2,0,1.0999999999999992,28.99999999999999,1,0.4,4,5
1,32,9,0,0,1,0.0,0.0,4,-1.1,5,0
0,33,50,6,13,18,3.6000000000000014,72.0,4,1.9,12,19
1,33,50,0,18,12,6.600000000000004,66.00000000000004,3,1.0,11,18
0,34,50,3,12,16,2.999999999999997,47.99999999999997,2,1.0,12,15
1,34,50,0,16,10,5.400000000000006,54.00000000000006,3,1.0,8,16
0,35,50,4,15,20,4.800000000000007,72.00000000000006,4,1.9,15,19
1,35,50,0,20,15,7.800000000000004,78.00000000000004,4,0.9,12,20
0,36,50,4,8,12,0.5999999999999975,29.99999999999997,5,1.8,18,12
1,36,50,0,13,3,3.5999999999999983,35.99999999999998,3,1.0,8,13
0,37,50,2,14,18,4.200000000000001,54.00000000000001,2,1.0,17,16
1,37,50,1,19,12,7.200000000000003,78.00000000000001,2,1.8,11,20
0,38,50,0,15,9,4.8,47.99999999999999,1,0.9,10,15
1,38,50,0,9,14,1.1999999999999966,11.999999999999966,1,1.0,11,9
0,39,50,3,16,17,5.4,71.99999999999999,3,1.0,14,19
1,39,50,0,17,14,6.000000000000005,60.00000000000005,4,1.9,8,17
0,40,50,0,16,14,5.400000000000001,54.00000000000001,2,1.0,16,16
1,40,50,0,14,14,4.2,42.0,2,1.0,10,14
0,41,50,3,11,14,2.399999999999999,41.99999999999999,3,1.8,20,14
1,41,50,0,14,6,4.199999999999998,41.99999999999998,4,1.9,12,14
0,42,50,2,17,19,6.000000000000007,72.00000000000007,3,1.8,13,19
1,42,50,0,19,15,7.199999999999998,71.99999999999999,4,1.9,10,19
0,43,50,1,14,15,4.200000000000001,48.00000000000001,0,1.8,17,15
1,43,50,0,15,10,4.8000000000000025,48.00000000000002,1,1.0,9,15
1,44,14,0,1,0,1.3877787807814454e-16,1.3877787807814457e-15,0,0.0,4,1
0,44,15,0,1,1,0.0,0.0,0,-1.0,6,1
0,45,50,0,15,17,4.8,47.99999999999999,4,1.9,12,15
1,45,50,0,17,14,5.999999999999999,59.99999999999999,1,1.0,11,17
0,46,50,3,9,14,1.199999999999997,29.999999999999968,1,0.9,17,12
1,46,50,1,14,6,4.199999999999998,47.99999999999998,3,1.8,8,15
0,47,50,2,18,18,6.600000000000004,78.00000000000004,4,1.9,12,20
1,47,50,0,19,17,7.200000000000002,72.00000000000001,4,1.9,11,19
0,48,50,4,17,20,6.000000000000003,84.00000000000001,0,1.8,14,21
1,48,50,1,20,16,7.800000000000002,84.00000000000001,0,1.8,9,21
0,49,50,1,18,20,6.600000000000003,72.00000000000003,4,1.9,12,19
1,49,50,0,20,16,7.800000000000005,78.00000000000004,4,1.9,11,20
0,50,50,2,17,19,6.000000000000003,72.00000000000003,5,1.4,13,19
