,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms
0,0,1,2,0,0,0,0.7000000000000001,7.0,0,0,1
0,2,1,2,0,0,0,0.7000000000000001,7.0,0,0,1
0,1,1,2,0,0,0,0.7000000000000001,7.0,0,0,1
0,3,1,2,0,0,0,0.7000000000000001,7.0,0,0,1
0,1,1,3,0,0,0,0.6000000000000001,6.000000000000001,0,0,1
0,3,1,3,0,0,0,0.6000000000000001,6.000000000000001,0,0,1
0,0,1,3,1,0,0,0.6000000000000001,12.000000000000002,0,1,1
0,2,1,3,0,0,0,0.6000000000000001,6.000000000000001,0,0,2
0,2,1,4,1,0,0,0.5000000000000001,11.0,0,1,3
0,1,1,4,0,1,0,1.1,11.0,0,0,2
0,0,1,4,0,0,1,0.5000000000000001,5.000000000000001,2,0.5,2
0,3,1,4,0,0,0,0.5000000000000001,5.000000000000001,0,0,2
0,2,1,5,0,1,0,1.0,10.0,1,1,4
0,1,1,5,1,1,0,1.0,16.0,0,1,3
0,0,1,5,0,0,1,0.40000000000000013,4.000000000000001,0,0,3
0,3,1,5,1,0,0,0.40000000000000013,10.0,0,1,3
0,1,1,6,0,2,0,1.5,15.0,1,1,4
0,3,1,6,0,1,0,0.9,9.0,1,1,4
0,2,1,6,0,1,0,0.9,9.0,0,0,5
0,0,1,6,0,0,1,0.30000000000000016,3.0000000000000013,0,0,4
0,2,1,7,0,1,0,0.8,8.0,0,0,5
0,0,1,7,0,0,1,0.20000000000000015,2.0000000000000013,0,0,5
0,1,1,7,0,2,0,1.4,13.999999999999998,0,0,4
0,3,1,7,0,1,0,0.8,8.0,0,0,5
0,1,1,8,0,2,0,1.2999999999999998,12.999999999999998,0,0,4
0,2,1,8,0,1,0,0.7000000000000001,7.0,0,0,5
0,3,1,8,0,1,0,0.7000000000000001,7.0,0,0,6
0,0,1,8,0,0,1,0.10000000000000014,1.0000000000000013,0,0,5
0,3,1,9,0,1,0,0.6000000000000001,6.000000000000001,0,0,6
0,0,1,9,1,0,1,1.3877787807814457e-16,6.000000000000001,0,1,6
0,2,1,9,1,1,0,0.6000000000000001,12.000000000000002,0,1,5
0,1,1,9,0,2,0,1.1999999999999997,11.999999999999996,0,0,5
0,3,1,10,0,1,0,0.5000000000000001,5.000000000000001,0,0,6
0,2,1,10,0,2,0,1.1,11.0,1,1,6
0,1,1,10,1,2,0,1.0999999999999996,16.999999999999996,0,1,6
0,0,1,10,0,1,1,0.5000000000000001,5.000000000000001,1,1,7
0,1,1,11,0,3,0,1.5999999999999996,15.999999999999996,1,1,7
0,3,1,11,0,1,0,0.40000000000000013,4.000000000000001,0,0,6
0,2,1,11,0,2,0,1.0,10.0,0,0,6
0,0,1,11,0,1,1,0.40000000000000013,4.000000000000001,0,0,8
0,3,1,12,0,1,0,0.30000000000000016,3.0000000000000013,0,0,6
0,1,1,12,0,3,0,1.4999999999999996,14.999999999999995,0,0,7
0,2,1,12,1,2,0,0.9,15.0,0,1,6
0,0,1,12,1,1,1,0.30000000000000016,9.0,0,1,9
0,0,1,13,0,2,1,0.8000000000000002,8.000000000000002,1,1,9
0,3,1,13,1,1,0,0.20000000000000015,8.000000000000002,0,1,7
0,1,1,13,0,3,0,1.3999999999999995,13.999999999999995,0,0,7
0,2,1,13,0,3,0,1.4,13.999999999999998,1,1,7
0,0,1,14,0,2,1,0.7000000000000002,7.000000000000002,0,0,10
0,1,1,14,0,3,0,1.2999999999999994,12.999999999999993,0,0,7
0,3,1,14,0,2,0,0.7000000000000002,7.000000000000002,1,1,8
0,2,1,14,0,3,0,1.2999999999999998,12.999999999999998,0,0,7
0,0,1,15,1,2,1,0.6000000000000002,12.000000000000002,0,1,10
0,1,1,15,0,3,0,1.1999999999999993,11.999999999999993,0,0,8
0,3,1,15,0,2,0,0.6000000000000002,6.000000000000002,0,0,9
0,2,1,15,0,3,0,1.1999999999999997,11.999999999999996,0,0,8
0,3,1,16,0,3,0,1.1,11.0,0,0,9
0,1,1,16,1,3,0,1.0999999999999992,16.999999999999993,0,1,9
0,0,1,16,0,2,2,0.5000000000000002,5.000000000000002,4,0.5,11
0,2,1,16,0,3,0,1.0999999999999996,10.999999999999996,0,0,8
0,1,1,17,0,4,0,1.5999999999999992,15.999999999999991,1,1,9
0,2,1,17,1,3,0,0.9999999999999997,15.999999999999996,0,1,8
0,3,1,17,0,3,0,1.0,10.0,0,0,9
0,0,1,17,0,2,2,0.40000000000000024,4.000000000000002,0,0,12
0,3,1,18,1,3,0,0.9,15.0,0,1,9
0,1,1,18,0,4,0,1.4999999999999991,14.999999999999991,0,0,9
0,2,1,18,0,4,0,1.4999999999999996,14.999999999999995,1,1,9
0,0,1,18,1,2,2,0.30000000000000027,9.000000000000002,0,1,12
0,0,1,19,0,3,2,0.8000000000000003,8.000000000000002,1,1,13
0,1,1,19,0,4,0,1.399999999999999,13.99999999999999,0,0,9
0,2,1,19,0,4,0,1.3999999999999995,13.999999999999995,0,0,10
0,3,1,19,0,4,0,1.4,13.999999999999998,1,1,10
0,0,1,20,0,3,2,0.7000000000000003,7.000000000000003,0,0,14
0,3,1,20,0,4,0,1.2999999999999998,12.999999999999998,3,-0.2,11
0,1,1,20,1,4,0,1.299999999999999,18.99999999999999,0,1,9
0,2,1,20,0,4,0,1.2999999999999994,12.999999999999993,0,0,10
0,0,1,21,0,3,2,0.6000000000000003,6.000000000000003,0,0,14
0,2,1,21,1,4,0,1.1999999999999993,17.999999999999993,0,1,10
0,1,1,21,0,4,1,1.1999999999999988,11.999999999999988,4,0.5,10
0,3,1,21,0,5,0,1.7999999999999998,17.999999999999996,0,0,12
0,0,1,22,1,3,2,0.5000000000000003,11.000000000000002,0,1,14
0,1,1,22,0,4,1,1.0999999999999988,10.999999999999988,0,0,11
0,2,1,22,0,4,1,1.0999999999999992,10.999999999999991,4,0.5,11
0,3,1,22,0,6,0,2.3,22.999999999999996,0,0,13
0,0,1,23,1,3,2,0.40000000000000036,10.000000000000004,2,-0.2,15
0,1,1,23,0,4,1,0.9999999999999988,9.999999999999988,0,0,11
0,3,1,23,0,6,0,2.1999999999999997,21.999999999999996,0,0,14
0,2,1,23,0,4,1,0.9999999999999992,9.999999999999991,0,0,12
0,1,1,24,0,4,1,0.8999999999999988,8.999999999999988,0,0,11
0,0,1,24,0,4,2,0.9000000000000005,9.000000000000004,1,1,16
0,2,1,24,0,4,1,0.8999999999999992,8.999999999999991,1,-0.2,13
0,3,1,24,0,6,0,2.0999999999999996,20.999999999999996,0,0,15
0,0,1,25,0,4,2,0.8000000000000005,8.000000000000004,0,0,17
0,3,1,25,0,6,0,1.9999999999999996,19.999999999999993,0,0,15
0,1,1,25,0,4,1,0.7999999999999988,7.999999999999988,0,0,11
0,2,1,25,0,4,1,0.7999999999999993,7.999999999999992,0,0,13
0,1,1,26,0,4,1,0.6999999999999988,6.9999999999999885,0,0,11
0,3,1,26,0,6,0,1.8999999999999995,18.999999999999993,0,0,15
0,0,1,26,0,4,2,0.7000000000000005,7.000000000000004,0,0,18
0,2,1,26,0,4,1,0.6999999999999993,6.999999999999993,0,0,13
0,2,1,27,0,4,1,0.5999999999999993,5.999999999999993,0,0,13
0,1,1,27,0,4,1,0.5999999999999989,5.9999999999999885,0,0,11
0,3,1,27,1,6,0,1.7999999999999994,23.999999999999993,0,1,15
0,0,1,27,1,4,2,0.6000000000000005,12.000000000000005,0,1,19
0,2,1,28,1,5,1,1.0999999999999992,16.999999999999993,0,1,14
0,3,1,28,0,6,1,1.6999999999999993,16.999999999999993,2,0.5,16
0,1,1,28,1,4,1,0.4999999999999989,10.999999999999988,0,1,12
0,0,1,28,0,5,3,1.1000000000000005,11.000000000000005,3,0.5,20
0,0,1,29,0,5,3,1.0000000000000004,10.000000000000004,0,0,20
0,1,1,29,0,5,1,0.9999999999999988,9.999999999999988,1,1,13
0,3,1,29,0,7,1,2.1999999999999993,21.999999999999993,0,0,17
0,2,1,29,0,5,2,0.9999999999999992,9.999999999999991,4,0.5,15
0,1,1,30,0,5,1,0.8999999999999988,8.999999999999988,0,0,13
0,2,1,30,0,5,2,0.8999999999999992,8.999999999999991,0,0,15
0,3,1,30,0,7,1,2.099999999999999,20.99999999999999,0,0,18
0,0,1,30,1,5,3,0.9000000000000005,15.000000000000004,0,1,20
0,3,1,31,0,8,1,2.599999999999999,25.99999999999999,0,0,18
0,2,1,31,0,5,2,0.7999999999999993,7.999999999999992,0,0,15
0,1,1,31,0,5,1,0.7999999999999988,7.999999999999988,0,0,13
0,0,1,31,0,5,4,0.8000000000000005,8.000000000000004,4,0.5,21
0,0,1,32,1,5,4,0.7000000000000005,13.000000000000004,0,1,21
0,2,1,32,1,5,2,0.6999999999999993,12.999999999999993,0,1,15
0,1,1,32,1,5,1,0.6999999999999988,12.99999999999999,0,1,13
0,3,1,32,0,8,1,2.499999999999999,24.99999999999999,0,0,18
0,0,1,33,0,6,5,1.2000000000000006,12.000000000000005,2,0.5,22
0,1,1,33,0,6,2,1.1999999999999988,11.999999999999988,2,0.5,14
0,3,1,33,1,8,1,2.399999999999999,29.99999999999999,0,1,18
0,2,1,33,0,6,2,1.1999999999999993,11.999999999999993,1,1,16
0,0,1,34,0,7,5,1.7000000000000006,17.000000000000004,0,0,22
0,3,1,34,0,8,2,2.299999999999999,22.99999999999999,2,0.5,19
0,1,1,34,0,6,2,1.0999999999999988,10.999999999999988,0,0,14
0,2,1,34,0,6,2,1.0999999999999992,10.999999999999991,0,0,17
