,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,total_days,action,reward,num_norms,total_berries
154,0,1,46,0,6,2,0.0,0.0,312.0,0,-1.0,7,6
159,1,1,50,0,9,1,1.2999999999999987,12.999999999999986,513.0,0,1.0,9,9
130,2,1,34,1,4,0,0.0,5.000000000000004,179.0,0,0.0,6,5
131,3,1,34,1,4,1,0.0,5.000000000000001,197.0,4,-1.2,6,5
277,0,2,39,1,5,2,0.0,5.000000000000001,224.0,0,0.0,9,6
251,1,2,26,0,3,0,0.0,0.0,249.0,2,-1.2,7,3
283,2,2,44,0,6,0,0.0,0.0,366.0,0,-1.0,7,6
219,3,2,15,1,2,2,0.6,11.999999999999998,86.0,0,0.0,7,3
480,0,3,50,0,8,3,0.6000000000000006,6.000000000000006,369.0,1,2.0,7,8
481,1,3,50,0,10,0,1.7999999999999985,17.999999999999982,657.0,0,1.0,7,10
482,2,3,50,0,9,1,1.199999999999997,11.99999999999997,651.0,0,1.0,6,9
483,3,3,50,0,8,1,0.6000000000000008,6.000000000000007,351.0,0,1.0,7,8
680,0,4,50,0,8,4,0.6000000000000006,6.000000000000006,459.0,0,1.0,9,8
681,1,4,50,0,11,0,2.399999999999998,23.99999999999998,723.0,0,1.0,12,11
682,2,4,50,0,11,2,2.399999999999997,23.999999999999968,1137.0,0,1.0,7,11
683,3,4,50,0,8,2,0.6000000000000006,6.000000000000006,321.0,1,2.0,11,8
784,0,5,45,0,6,0,0.0,0.0,324.0,2,-1.2,7,6
751,1,5,20,1,2,0,0.0,5.999999999999997,246.0,4,-1.2,9,3
766,2,5,27,0,3,0,0.0,0.0,123.0,2,-1.2,8,3
719,3,5,9,1,0,1,0.0,5.000000000000001,47.0,0,0.0,3,1
885,0,6,50,0,7,0,0.0,0.0,573.0,2,-0.1999999999999999,7,7
856,1,6,21,0,2,0,0.0,0.0,126.0,2,-1.2,5,2
843,2,6,15,1,1,0,0.0,5.000000000000002,86.0,0,0.0,7,2
844,3,6,15,1,1,0,0.0,5.000000000000001,80.0,0,0.0,7,2
1072,0,7,50,0,8,1,0.6000000000000009,6.000000000000008,399.0,1,2.0,11,8
1073,1,7,50,0,8,0,0.6000000000000005,6.000000000000005,285.0,2,0.8,11,8
1074,2,7,50,1,10,1,1.7999999999999976,23.99999999999997,885.0,0,2.0,10,11
1041,3,7,39,1,5,0,0.0,5.000000000000004,266.0,0,-1.0,8,6
1203,0,8,33,1,4,3,0.0,5.000000000000002,281.0,0,-1.0,6,5
1255,1,8,50,0,9,0,1.1999999999999966,11.999999999999966,1077.0,2,0.8,8,9
1256,2,8,50,0,8,0,0.5999999999999984,5.999999999999984,585.0,0,1.0,9,8
1257,3,8,50,1,7,2,3.6082248300317592e-16,6.000000000000003,291.0,0,2.0,9,8
1444,0,9,50,0,8,1,0.6000000000000006,6.000000000000006,369.0,0,1.0,11,8
1445,1,9,50,1,8,0,0.5999999999999984,11.999999999999984,675.0,4,0.8,8,9
1446,2,9,50,0,9,1,1.2,11.999999999999998,387.0,1,2.0,11,9
1413,3,9,39,0,5,1,0.0,0.0,273.0,0,-1.0,7,5
1621,0,10,50,0,8,1,0.6000000000000009,6.000000000000008,417.0,0,1.0,12,8
1622,1,10,50,0,8,0,0.5999999999999986,5.999999999999986,621.0,1,2.0,11,8
1623,2,10,50,0,9,0,1.2000000000000004,12.000000000000004,357.0,1,2.0,11,9
1554,3,10,27,0,3,0,0.0,0.0,147.0,0,-1.0,5,3
1730,0,11,50,0,7,0,1.3877787807814454e-16,1.3877787807814457e-15,351.0,2,0.8,8,7
1707,1,11,27,0,3,0,0.0,0.0,165.0,4,-1.2,6,3
1682,2,11,15,1,1,0,0.0,5.000000000000002,86.0,0,0.0,5,2
1683,3,11,15,0,1,0,0.0,0.0,87.0,4,-1.2,7,1
1837,0,12,50,0,10,0,1.7999999999999985,17.999999999999982,645.0,0,1.0,6,10
1764,1,12,9,0,0,0,0.0,0.0,36.0,0,-1.0,8,0
1814,2,12,27,0,3,0,0.0,0.0,201.0,2,-1.2,7,3
1802,3,12,21,0,2,0,0.0,0.0,114.0,1,-1.2,5,2
1889,0,13,15,2,1,0,0.0,11.0,128.0,2,-1.2,8,3
1871,1,13,9,0,0,0,0.0,0.0,36.0,0,-1.0,5,0
1902,2,13,21,0,2,0,0.0,0.0,108.0,0,-1.0,5,2
1909,3,13,27,0,3,0,0.0,0.0,147.0,0,-1.0,6,3
2106,0,14,50,0,8,3,0.6000000000000009,6.000000000000008,459.0,0,1.0,9,8
2107,1,14,50,0,10,0,1.799999999999999,17.99999999999999,531.0,0,1.0,8,10
2108,2,14,50,0,10,1,1.7999999999999976,17.999999999999975,741.0,0,1.0,8,10
2109,3,14,50,0,8,1,0.6000000000000006,6.000000000000006,297.0,1,2.0,8,8
2306,0,15,50,1,8,2,0.6000000000000006,12.000000000000004,411.0,1,2.0,10,9
2307,1,15,50,0,11,1,2.4,24.0,525.0,0,1.0,11,11
2308,2,15,50,0,9,3,1.199999999999998,11.99999999999998,705.0,4,1.5,10,9
2309,3,15,50,1,8,0,0.6000000000000006,12.000000000000004,315.0,0,2.0,8,9
2490,0,16,50,0,8,1,0.6000000000000005,6.000000000000005,441.0,0,1.0,9,8
2491,1,16,50,0,7,0,0.0,0.0,579.0,2,-0.1999999999999999,9,7
2492,2,16,50,1,9,1,1.1999999999999984,17.999999999999982,555.0,0,2.0,8,10
2441,3,16,33,0,4,0,0.0,0.0,168.0,0,-1.0,6,4
2657,0,17,50,0,9,1,1.2000000000000004,12.000000000000004,399.0,1,2.0,13,9
2658,1,17,50,0,8,1,0.5999999999999994,5.999999999999994,513.0,0,1.0,12,8
2599,2,17,27,0,3,0,0.0,0.0,111.0,0,-1.0,7,3
2636,3,17,39,1,5,0,0.0,5.000000000000001,236.0,0,0.0,9,6
2845,0,18,50,0,8,1,0.6000000000000006,6.000000000000006,351.0,1,2.0,11,8
2846,1,18,50,1,8,0,0.5999999999999975,11.999999999999975,717.0,0,2.0,8,9
2847,2,18,50,0,8,2,0.6000000000000001,6.000000000000001,405.0,0,1.0,10,8
2814,3,18,39,1,5,0,0.0,5.000000000000006,212.0,0,0.0,7,6
3044,0,19,50,0,8,4,0.6000000000000008,6.000000000000007,417.0,0,1.0,10,8
3045,1,19,50,0,10,0,1.7999999999999967,17.999999999999964,975.0,0,1.0,10,10
3046,2,19,50,0,10,0,1.7999999999999985,17.999999999999982,645.0,0,1.0,8,10
3047,3,19,50,0,8,2,0.6000000000000008,6.000000000000007,309.0,0,1.0,10,8
3152,0,20,27,1,3,2,0.0,5.000000000000001,224.0,0,-1.0,7,4
3200,1,20,50,0,7,0,0.0,0.0,711.0,0,0.0,10,7
3201,2,20,50,1,8,0,0.5999999999999991,11.99999999999999,495.0,0,2.0,10,9
3155,3,20,27,1,3,2,0.0,5.000000000000002,128.0,2,-1.2,7,4
3398,0,21,50,1,8,4,0.6000000000000005,12.000000000000004,459.0,0,2.0,10,9
3399,1,21,50,0,11,0,2.399999999999998,23.99999999999998,687.0,1,0.8,10,11
3400,2,21,50,0,9,1,1.1999999999999995,11.999999999999996,363.0,0,1.0,9,9
3401,3,21,50,0,8,2,0.6000000000000004,6.000000000000004,327.0,1,2.0,8,8
3496,0,22,50,0,12,0,2.999999999999998,29.99999999999997,843.0,1,2.0,8,12
3435,1,22,9,1,0,0,0.0,5.000000000000001,41.0,0,0.0,5,1
3473,2,22,27,0,3,0,0.0,0.0,147.0,2,-1.2,6,3
3437,3,22,9,1,0,0,0.0,5.000000000000001,59.0,3,-1.2,6,1
3693,0,23,50,0,8,4,0.6000000000000008,6.000000000000007,411.0,4,1.5,8,8
3694,1,23,50,0,10,0,1.7999999999999965,17.99999999999996,789.0,0,1.0,10,10
3695,2,23,50,1,8,2,0.5999999999999995,11.999999999999996,453.0,0,2.0,8,9
3696,3,23,50,1,8,1,0.6000000000000009,12.000000000000009,273.0,0,2.0,10,9
3838,0,24,50,0,9,1,1.2,11.999999999999998,435.0,1,2.0,9,9
3797,1,24,27,0,3,0,0.0,0.0,129.0,2,-1.2,6,3
3832,2,24,44,0,6,0,0.0,0.0,450.0,2,-1.2,7,6
3780,3,24,21,1,2,0,0.0,5.000000000000002,107.0,0,0.0,5,3
3997,0,25,50,0,10,2,1.7999999999999998,17.999999999999996,477.0,1,2.0,10,10
3944,1,25,27,0,3,0,0.0,0.0,123.0,4,-1.2,6,3
3998,2,25,50,0,8,0,0.5999999999999971,5.999999999999971,789.0,2,0.8,8,8
3964,3,25,33,0,4,0,0.0,0.0,162.0,0,-1.0,6,4
4116,0,26,50,0,10,0,1.7999999999999985,17.999999999999982,567.0,0,1.0,6,10
4075,1,26,21,0,2,1,0.0,0.0,156.0,1,-1.2,5,2
4057,2,26,15,1,1,0,0.0,5.000000000000001,98.0,4,-1.2,7,2
