day,baseline,maximin
1,0.0,0.0
2,0.11850000000000001,0.19
3,0.53,0.769
4,0.9615,1.3050000000000002
5,1.5165,2.0215
6,2.1959999999999997,2.8820000000000006
7,3.1119999999999997,3.677
8,4.0345,4.393000000000001
9,4.7305,5.113
10,5.399852177869878,5.830635057010351
11,5.891810698017813,6.46966425382665
12,6.602096434353877,7.250061233155574
13,7.48935633099983,8.023551712455431
14,8.341279468785,8.759612209415925
15,9.069985672585794,9.456892641529706
16,9.824927620466838,10.258596351438323
17,10.341525450815535,10.878744326965274
18,11.032502505287809,11.620925474880913
19,11.815058747792275,12.357643408143522
20,12.60748920968503,13.018288398348222
21,13.344331937985098,13.715681241074858
22,14.234408135818885,14.612502005294985
23,14.698425891805735,15.276155642482257
24,15.369751726326399,15.935444100544906
25,16.10913233375369,16.591658922235382
26,16.846888082615138,17.2860183533308
27,17.620560897457672,17.996836867258896
28,18.533026347107754,18.94007634355934
29,19.030365420058093,19.573054205696316
30,19.674111592736427,20.22695232352849
31,20.379567086172102,20.904791294089698
32,21.134552660754125,21.592847342639033
33,21.898971942811517,22.293049246494938
34,22.852928607458036,23.21260494985634
35,23.326269300812385,23.835194137126308
36,23.985722080409126,24.48312536723582
37,24.702128644878357,25.128534769309116
38,25.375990463619868,25.807088929755178
39,26.259094779295427,26.53447634470701
40,27.154953621787985,27.48866650771811
41,27.602697293716478,28.098688972565807
42,28.2418454252727,28.75862782308781
43,28.920525679685337,29.407205987253338
44,29.62226059678416,30.099030067545186
45,30.50588751952389,30.847154617463236
46,31.40702023740481,31.823101743908197
47,31.845083001396823,32.41612430135319
48,32.53257328959671,33.04219979853538
49,33.20608251048906,33.68200581555228
50,33.879023686497604,34.35277373795186
