,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
194,3,1,50,0,13,3,3.6999999999999984,36.99999999999998,0,1.0,23,13
195,0,1,50,0,8,9,0.7000000000000002,7.000000000000002,0,1.0,28,8
394,0,2,50,0,10,6,1.7999999999999994,17.999999999999993,4,0.8,37,10
395,2,2,50,0,9,3,1.1999999999999984,11.999999999999984,3,0.8,32,9
594,3,3,50,0,13,4,3.6000000000000005,36.0,2,1.5,26,13
595,1,3,50,0,10,3,1.799999999999999,17.99999999999999,4,0.8,33,10
794,3,4,50,0,14,3,4.199999999999998,41.99999999999998,0,1.0,23,14
795,0,4,50,0,8,4,0.6000000000000006,6.000000000000006,0,1.0,27,8
991,2,5,49,1,9,2,1.299999999999999,18.99999999999999,0,1.0,27,10
992,1,5,50,1,7,4,0.0,5.999999999999993,0,1.0,27,8
1191,1,6,50,1,9,8,1.1999999999999968,17.999999999999964,0,2.0,31,10
1192,3,6,50,0,15,3,4.799999999999999,47.99999999999999,0,1.0,18,15
1248,1,7,14,0,3,1,1.1999999999999995,11.999999999999996,2,0.5,10,3
1249,2,7,15,1,1,1,0.0,5.000000000000002,0,0.0,11,2
1448,0,8,50,0,9,5,1.2000000000000002,12.000000000000002,0,1.0,28,9
1449,2,8,50,0,8,2,0.6,5.999999999999999,0,1.0,29,8
1483,2,9,9,1,1,0,0.5000000000000002,11.0,0,1.0,7,2
1484,1,9,9,2,0,0,0.0,11.0,0,0.0,6,2
1683,3,10,50,0,14,4,4.199999999999999,41.99999999999999,0,1.0,22,14
1684,2,10,50,0,9,5,1.199999999999998,11.99999999999998,0,1.0,32,9
1883,1,11,50,0,9,7,1.1999999999999982,11.99999999999998,2,0.8,30,9
1884,2,11,50,1,10,5,1.799999999999998,23.99999999999998,0,2.0,31,11
2034,0,12,38,0,6,7,0.6000000000000003,6.000000000000003,4,0.5,25,6
2035,1,12,38,0,5,2,0.0,0.0,4,-1.2,27,5
2234,2,13,50,0,9,3,1.1999999999999995,11.999999999999996,3,0.8,35,9
2235,3,13,50,0,13,5,3.6000000000000005,36.0,0,1.0,26,13
2434,3,14,50,0,12,6,2.999999999999998,29.99999999999997,4,0.8,26,12
2435,1,14,50,0,11,5,2.3999999999999986,23.999999999999982,0,1.0,29,11
2634,1,15,50,0,8,6,0.5999999999999995,5.999999999999995,0,1.0,27,8
2635,0,15,50,0,12,8,2.9999999999999982,29.999999999999982,1,2.0,34,12
2834,3,16,50,0,13,6,3.599999999999998,35.99999999999998,2,1.5,23,13
2835,1,16,50,0,10,6,1.7999999999999976,17.999999999999975,2,1.5,28,10
2942,2,17,27,1,4,0,0.5000000000000006,11.000000000000004,0,1.0,18,5
2943,3,17,27,0,3,0,0.0,0.0,3,-1.2,15,3
