,agent_id,episode,day,berries,berries_consumed,berries_thrown,health,days_left_to_live,action,reward,num_norms,total_berries
194,3,1,50,0,11,2,2.499999999999997,24.999999999999968,4,0.9,28,11
195,2,1,50,1,9,0,1.299999999999998,18.99999999999998,0,1.8,24,10
394,0,2,50,0,8,5,0.600000000000001,6.00000000000001,0,1.0,17,8
395,2,2,50,0,10,0,1.7999999999999972,17.99999999999997,0,1.0,22,10
594,3,3,50,1,9,2,1.199999999999997,17.99999999999997,0,1.8,19,10
595,0,3,50,0,8,4,0.6000000000000011,6.000000000000011,0,1.0,20,8
651,2,4,14,0,3,0,1.1999999999999993,11.999999999999991,2,-0.1,8,3
652,1,4,15,0,1,0,0.0,0.0,4,-1.1,14,1
851,1,5,50,0,10,0,1.7999999999999976,17.999999999999975,1,0.9,26,10
852,3,5,50,1,10,2,1.7999999999999972,23.99999999999997,0,1.8,22,11
911,0,6,15,0,2,1,0.5000000000000003,5.000000000000003,0,0.0,9,2
912,1,6,15,0,1,0,0.0,0.0,0,-1.0,12,1
994,2,7,21,1,4,0,1.0999999999999996,16.999999999999996,0,0.8,14,5
995,0,7,21,1,2,3,0.0,5.000000000000002,0,0.2,15,3
1194,2,8,50,0,9,0,1.1999999999999995,11.999999999999996,0,1.0,19,9
1195,3,8,50,0,13,2,3.599999999999997,35.99999999999997,1,1.4,26,13
1394,1,9,50,0,9,1,1.199999999999998,11.99999999999998,0,1.0,29,9
1395,2,9,50,0,12,0,2.9999999999999973,29.99999999999997,1,0.9,27,12
1594,1,10,50,0,10,0,1.7999999999999972,17.99999999999997,1,1.4,21,10
1595,0,10,50,0,8,3,0.6000000000000008,6.000000000000007,4,1.5,18,8
1793,0,11,50,0,8,7,0.6000000000000008,6.000000000000007,0,1.0,28,8
1794,1,11,50,0,7,0,0.0,0.0,0,0.0,29,7
1993,2,12,50,0,12,0,2.9999999999999973,29.99999999999997,1,0.9,27,12
1994,3,12,50,0,8,3,0.599999999999998,5.99999999999998,0,1.0,29,8
2147,3,13,39,0,10,2,2.899999999999999,28.99999999999999,3,-0.1,20,10
2148,0,13,39,0,5,5,0.0,0.0,2,-1.1,20,5
2347,1,14,50,0,9,0,1.1999999999999984,11.999999999999984,0,1.0,24,9
2348,2,14,50,0,11,0,2.3999999999999986,23.999999999999982,1,1.4,28,11
2547,2,15,50,0,11,0,2.3999999999999977,23.99999999999997,0,1.0,26,11
2548,1,15,50,0,8,0,0.5999999999999989,5.9999999999999885,1,0.9,21,8
2747,3,16,50,0,13,2,3.599999999999997,35.999999999999964,1,1.4,26,13
2748,1,16,50,0,9,0,1.1999999999999964,11.999999999999964,0,1.0,30,9
2781,0,17,9,1,1,0,0.5000000000000002,11.0,0,0.8,5,2
2782,1,17,9,0,0,0,0.0,0.0,3,-1.1,7,0
2981,2,18,50,0,10,0,1.7999999999999972,17.99999999999997,1,1.4,23,10
2982,3,18,50,0,11,2,2.399999999999997,23.99999999999997,1,1.4,24,11
3181,2,19,50,0,9,1,1.199999999999997,11.99999999999997,0,1.0,26,9
3182,3,19,50,1,11,4,2.399999999999997,29.999999999999968,0,1.8,28,12
3312,2,20,33,0,7,0,1.699999999999998,16.99999999999998,1,-0.1,16,7
3313,0,20,33,0,4,2,0.0,0.0,0,-1.0,17,4
3512,2,21,50,0,11,0,2.399999999999997,23.999999999999968,1,1.4,25,11
3513,0,21,50,1,7,4,1.0269562977782698e-15,6.00000000000001,0,2.2,26,8
3591,3,22,20,0,4,0,1.1999999999999995,11.999999999999996,0,0.0,13,4
3592,1,22,20,1,2,0,0.0,5.999999999999997,0,0.2,15,3
3627,1,23,9,1,1,0,0.5000000000000001,11.0,0,0.8,5,2
3628,0,23,9,1,0,1,0.0,5.000000000000001,0,0.2,8,1
3827,2,24,50,0,12,0,2.9999999999999973,29.99999999999997,1,0.9,24,12
3828,1,24,50,0,9,0,1.1999999999999993,11.999999999999991,1,1.4,27,9
3884,1,25,14,0,4,0,1.7999999999999998,17.999999999999996,0,0.0,8,4
3885,2,25,15,1,1,0,0.0,5.000000000000001,0,0.2,12,2
4016,1,26,33,0,5,0,0.5000000000000003,5.000000000000003,0,0.0,20,5
4017,0,26,33,0,4,2,0.0,0.0,0,-1.0,25,4
4216,3,27,50,0,11,3,2.399999999999997,23.999999999999968,0,1.0,25,11
4217,2,27,50,0,10,1,1.7999999999999965,17.99999999999996,1,1.4,22,10
4416,1,28,50,0,11,0,2.3999999999999986,23.999999999999982,0,1.0,29,11
4417,3,28,50,0,11,2,2.3999999999999986,23.999999999999982,0,1.0,28,11
4616,3,29,50,0,9,3,1.1999999999999975,11.999999999999975,0,1.0,31,9
4617,1,29,50,0,12,0,2.999999999999997,29.999999999999968,1,0.9,28,12
4816,0,30,50,0,8,5,0.6000000000000008,6.000000000000007,0,1.0,18,8
4817,3,30,50,0,9,4,1.1999999999999975,11.999999999999975,1,0.9,28,9
4849,1,31,8,0,2,0,1.2000000000000002,12.000000000000002,0,0.0,6,2
4850,3,31,9,0,0,0,0.0,0.0,3,-1.1,9,0
5049,3,32,50,0,10,0,1.7999999999999967,17.999999999999964,0,1.0,24,10
5050,0,32,50,0,8,4,0.6000000000000008,6.000000000000007,0,1.0,15,8
5249,1,33,50,1,9,1,1.1999999999999984,17.999999999999982,0,1.8,23,10
5250,2,33,50,1,11,0,2.399999999999997,29.999999999999968,0,1.8,20,12
5449,3,34,50,0,10,2,1.7999999999999967,17.999999999999964,4,0.9,22,10
5450,2,34,50,0,10,0,1.7999999999999967,17.999999999999964,0,1.0,17,10
5649,0,35,50,1,8,3,0.600000000000001,12.00000000000001,0,1.8,29,9
5650,2,35,50,0,12,0,2.999999999999997,29.999999999999968,1,0.9,31,12
5849,0,36,50,0,8,2,0.6000000000000009,6.000000000000008,0,1.0,24,8
5850,3,36,50,0,9,1,1.1999999999999995,11.999999999999996,0,1.0,17,9
5933,1,37,21,0,4,1,1.0999999999999988,10.999999999999988,2,-0.1,9,4
5934,2,37,21,1,2,1,0.0,5.000000000000001,0,0.2,14,3
6133,0,38,50,0,8,3,0.600000000000001,6.00000000000001,0,1.0,29,8
6134,3,38,50,0,12,0,2.9999999999999973,29.99999999999997,2,0.9,31,12
6333,2,39,50,0,8,1,0.5999999999999999,5.999999999999998,0,1.0,23,8
6334,3,39,50,0,11,0,2.3999999999999986,23.999999999999982,0,1.0,26,11
6532,0,40,50,0,8,3,0.6000000000000008,6.000000000000007,0,1.0,33,8
6533,1,40,50,0,7,0,0.0,0.0,0,0.0,32,7
6732,3,41,50,1,10,1,1.7999999999999967,23.999999999999968,0,1.8,24,11
6733,0,41,50,0,8,4,0.600000000000001,6.00000000000001,4,1.1,24,8
6932,0,42,50,0,8,5,0.6000000000000006,6.000000000000006,0,1.0,23,8
6933,1,42,50,0,8,0,0.6000000000000005,6.000000000000005,1,0.9,26,8
7129,0,43,49,1,7,3,0.1000000000000005,7.000000000000006,0,0.8,21,8
7130,1,43,50,1,7,0,0.0,5.9999999999999885,0,1.2000000000000002,25,8
7210,1,44,20,0,4,0,1.1999999999999995,11.999999999999996,0,0.0,11,4
7211,0,44,21,1,2,1,0.0,5.000000000000003,0,0.2,15,3
7410,1,45,50,0,10,1,1.7999999999999976,17.999999999999975,0,1.0,28,10
7411,0,45,50,1,7,3,5.828670879282072e-16,6.000000000000005,0,2.2,25,8
7610,2,46,50,1,10,0,1.7999999999999967,23.999999999999968,0,1.8,28,11
7611,1,46,50,0,9,0,1.1999999999999982,11.99999999999998,3,0.9,33,9
7766,3,47,39,0,9,3,2.2999999999999976,22.99999999999997,0,0.0,23,9
7767,1,47,39,1,5,1,0.0,5.000000000000001,2,-1.5,19,6
7849,3,48,21,0,4,2,1.0999999999999992,10.999999999999991,3,-0.1,15,4
7850,0,48,21,0,2,2,0.0,0.0,2,-1.1,11,2
8049,2,49,50,0,11,1,2.3999999999999977,23.99999999999997,1,1.4,23,11
8050,1,49,50,0,9,0,1.1999999999999993,11.999999999999991,0,1.0,22,9
8249,1,50,50,0,9,0,1.1999999999999995,11.999999999999996,0,1.0,20,9
