day,baseline,rawlsian
8,-0.5,-0.5
9,0.27798151932085213,0.35938873156918283
14,-0.5,-0.5
15,0.34017846269664664,0.3224794983116257
19,-0.5,-0.5
20,0.29342387419585414,0.16666666666666696
21,0.3350669536107125,0.003416856492027387
25,-0.5,-0.5
26,0.4132791327913281,0.298165137614679
27,0.39852131052478956,-0.5
31,-0.5,-0.5
32,0.3191986516509615,0.28411719352351605
33,0.41659350307287113,0.5
37,-0.5,-0.5
38,0.40076552310745694,0.43872113676731805
39,0.38164893617021267,0.0
44,0.4195804195804196,0.5
45,0.3631578947368421,
49,-0.5,-0.5
50,0.10937480959131696,0.004202528060918809
43,,-0.5
